迭代次数,区域0工作量,区域1工作量,区域2工作量,总工作量,区域0占比,区域1占比,区域2占比
1,1636.469835,4727.499851,2729.303999,9093.273685,0.1800,0.5199,0.3001
2,6460.544414,3529.783807,1668.754701,11659.082923,0.5541,0.3027,0.1431
3,4928.557999,2569.886504,8831.379050,16329.823554,0.3018,0.1574,0.5408
4,3817.206375,3626.011414,7992.258910,15435.476700,0.2473,0.2349,0.5178
5,2557.767045,11651.412215,2771.667624,16980.846884,0.1506,0.6862,0.1632
6,3074.617004,1734.393725,9079.471022,13888.481751,0.2214,0.1249,0.6537
7,4295.404613,4461.504193,7447.028882,16203.937689,0.2651,0.2753,0.4596
8,1182.357774,3294.164884,10990.540815,15467.063473,0.0764,0.2130,0.7106
9,704.246133,4727.499851,14476.388850,19908.134834,0.0354,0.2375,0.7272
10,3279.520160,12477.381973,1566.382989,17323.285122,0.1893,0.7203,0.0904
11,4030.598969,10239.220031,3860.177027,18129.996028,0.2223,0.5648,0.2129
12,5624.661882,8690.453542,2405.503129,16720.618553,0.3364,0.5197,0.1439
13,2020.080830,5464.444286,8577.901910,16062.427026,0.1258,0.3402,0.5340
14,1929.026663,3369.538777,12686.858062,17985.423501,0.1073,0.1873,0.7054
15,3556.515717,3640.709137,8861.556189,16058.781043,0.2215,0.2267,0.5518
16,704.246133,11194.611143,8831.379050,20730.236326,0.0340,0.5400,0.4260
17,1182.357774,14315.814845,2022.732710,17520.905329,0.0675,0.8171,0.1154
18,1631.491745,7840.032176,9185.357059,18656.880981,0.0874,0.4202,0.4923
19,6338.558794,1402.547195,8563.482396,16304.588385,0.3888,0.0860,0.5252
20,3154.792361,11684.931984,3153.605738,17993.330083,0.1753,0.6494,0.1753
21,1496.759357,3970.143962,11797.382586,17264.285904,0.0867,0.2300,0.6833
22,2020.080830,7343.257574,7710.821665,17074.160069,0.1183,0.4301,0.4516
23,2382.544600,11641.889194,8374.313799,22398.747593,0.1064,0.5198,0.3739
24,5468.746138,9987.922096,3433.791866,18890.460100,0.2895,0.5287,0.1818
25,1182.357774,12015.643241,4112.619377,17310.620391,0.0683,0.6941,0.2376
26,3081.650125,3743.292823,9016.726805,15841.669754,0.1945,0.2363,0.5692
27,5770.973934,1734.393725,14506.565988,22011.933647,0.2622,0.0788,0.6590
28,3552.487328,11074.712811,8374.313799,23001.513937,0.1544,0.4815,0.3641
29,7560.007804,10808.717153,829.634561,19198.359518,0.3938,0.5630,0.0432
30,1496.759357,6441.897377,9652.142059,17590.798793,0.0851,0.3662,0.5487
31,7080.907910,1591.980295,8841.482114,17514.370319,0.4043,0.0909,0.5048
32,2844.351183,10927.576094,4256.518661,18028.445938,0.1578,0.6061,0.2361
33,5527.337242,1542.548920,10069.839454,17139.725616,0.3225,0.0900,0.5875
34,6546.620492,9258.911273,3364.397131,19169.928896,0.3415,0.4830,0.1755
35,2382.544600,18109.000485,2729.303999,23220.849085,0.1026,0.7799,0.1175
36,5133.393879,10851.759942,4572.426218,20557.580039,0.2497,0.5279,0.2224
37,3372.453599,11310.042664,3021.056888,17703.553151,0.1905,0.6389,0.1706
38,2150.420295,3365.640507,11639.390097,17155.450899,0.1253,0.1962,0.6785
39,3636.629652,5198.448628,12576.719412,21411.797692,0.1698,0.2428,0.5874
40,6379.425040,9973.224373,3897.293393,20249.942807,0.3150,0.4925,0.1925
41,2709.366100,11044.047006,6439.835094,20193.248200,0.1342,0.5469,0.3189
42,2974.215638,12520.424763,7313.764501,22808.404902,0.1304,0.5489,0.3207
43,1001.781050,11889.062807,9444.966160,22335.810017,0.0449,0.5323,0.4229
44,2334.482413,13858.656537,3578.739782,19771.878732,0.1181,0.7009,0.1810
45,1782.120487,2223.342251,20019.483715,24024.946453,0.0742,0.0925,0.8333
46,5211.348790,2223.342251,13196.930072,20631.621113,0.2526,0.1078,0.6396
47,850.490909,12520.424763,11056.556157,24427.471829,0.0348,0.5126,0.4526
48,1471.021699,12250.530835,5090.391541,18811.944076,0.0782,0.6512,0.2706
49,2498.519323,11651.412215,8384.629442,22534.560980,0.1109,0.5170,0.3721
50,5241.314712,4854.225113,8615.018276,18710.558100,0.2801,0.2594,0.4604
