InstanceName,NumUnits,NumRegions,RSD,r,gamma,Scenarios,UseD1,Delta1,Delta2,UseJointChance,UseExactMethod,UseImprovedModel,UseAssignmentDependent,AvgDistMethod,AvgDistMean,Runtime(s),Objective,OutOfSamplePerformance,SolveSuccess,StatusCode,CutIterations,FailureStage
unique_coordinates_list_filtered_new.dat,47,3,0.250,0.5,0.2,1000,false,2.00,4.00,false,false,false,true,3,-1.0000,0.019,12491394.8587,0.0405,true,-1,-1,0
unique_coordinates_list_filtered_new.dat,47,3,0.250,0.5,0.1,1000,true,0.00,0.00,false,false,false,true,3,-1.0000,0.021,12491394.8587,0.0405,true,-1,-1,0
unique_coordinates_list_filtered_new.dat,47,3,0.250,0.5,0.1,1000,false,2.00,4.00,false,false,false,true,3,-1.0000,0.021,12492900.7906,0.0501,true,-1,-1,0
unique_coordinates_list_filtered_new.dat,47,3,0.250,0.4,0.4,1000,true,0.00,0.00,false,false,false,true,3,-1.0000,0.019,12491394.8587,0.0328,true,-1,-1,0
unique_coordinates_list_filtered_new.dat,47,3,0.250,0.4,0.4,1000,false,2.00,4.00,false,false,false,true,3,-1.0000,0.023,12492900.7906,0.0385,true,-1,-1,0
unique_coordinates_list_filtered_new.dat,47,3,0.250,0.4,0.3,1000,true,0.00,0.00,false,false,false,true,3,-1.0000,0.027,12492900.7906,0.0385,true,-1,-1,0
unique_coordinates_list_filtered_new.dat,47,3,0.250,0.4,0.3,1000,false,2.00,4.00,false,false,false,true,3,-1.0000,0.028,12492903.3697,0.0405,true,-1,-1,0
unique_coordinates_list_filtered_new.dat,47,3,0.250,0.4,0.2,1000,true,0.00,0.00,false,false,false,true,3,-1.0000,0.021,12492900.7906,0.0385,true,-1,-1,0
unique_coordinates_list_filtered_new.dat,47,3,0.250,0.4,0.2,1000,false,2.00,4.00,false,false,false,true,3,-1.0000,0.024,12494409.3016,0.0462,true,-1,-1,0
unique_coordinates_list_filtered_new.dat,47,3,0.250,0.4,0.1,1000,true,0.00,0.00,false,false,false,true,3,-1.0000,0.021,12492900.7906,0.0385,true,-1,-1,0
unique_coordinates_list_filtered_new.dat,47,3,0.250,0.4,0.1,1000,false,2.00,4.00,false,false,false,true,3,-1.0000,0.037,12495904.5692,0.3083,true,-1,-1,0
unique_coordinates_list_filtered_new.dat,47,3,0.250,0.3,0.4,1000,true,0.00,0.00,false,false,false,true,3,-1.0000,0.024,12494409.3016,0.0328,true,-1,-1,0
unique_coordinates_list_filtered_new.dat,47,3,0.250,0.3,0.4,1000,false,2.00,4.00,false,false,false,true,3,-1.0000,0.026,12495904.5692,0.2158,true,-1,-1,0
unique_coordinates_list_filtered_new.dat,47,3,0.250,0.3,0.3,1000,true,0.00,0.00,false,false,false,true,3,-1.0000,0.021,12494409.3016,0.0328,true,-1,-1,0
unique_coordinates_list_filtered_new.dat,47,3,0.250,0.3,0.3,1000,false,2.00,4.00,false,false,false,true,3,-1.0000,0.025,12495904.5692,0.2158,true,-1,-1,0
unique_coordinates_list_filtered_new.dat,47,3,0.250,0.3,0.2,1000,true,0.00,0.00,false,false,false,true,3,-1.0000,0.020,12494409.3016,0.0328,true,-1,-1,0
unique_coordinates_list_filtered_new.dat,47,3,0.250,0.3,0.2,1000,false,2.00,4.00,false,false,false,true,3,-1.0000,0.023,12495904.5692,0.2158,true,-1,-1,0
unique_coordinates_list_filtered_new.dat,47,3,0.250,0.3,0.1,1000,true,0.00,0.00,false,false,false,true,3,-1.0000,0.026,12495904.5692,0.2158,true,-1,-1,0
unique_coordinates_list_filtered_new.dat,47,3,0.250,0.3,0.1,1000,false,2.00,4.00,false,false,false,true,3,-1.0000,0.021,12495904.5692,0.2158,true,-1,-1,0
