PointID,Region_0,Region_1,Region_2
0,1176.4013313053,223.5516137038,10041.1340657242
1,0,0,0
2,0,0,0
3,4721.2528071862,10589.0126162528,4279.9193203583
4,727.5370869673,7481.6640004580,6555.0136770838
5,0,0,0
6,395.7656911376,7502.3965719806,5503.4345586082
7,0,0,0
8,0,0,0
9,864.4961868848,4694.1177866777,4313.7913428586
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,4590.2557803544,1011.5334953284,9047.0451199631
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0.0000000000,0,0
32,0,0.0000000000,0
33,0,0,0
34,0,0,0
35,0,0,0.0000000000
36,0,0,0
