PointID,Region_0,Region_1,Region_2
0,5809.4551720207,559.7592079323,9440.7625373375
1,0,0,0
2,0,0,0
3,0,0,0
4,693.9971243941,6276.0943035727,6288.7499773409
5,0,0,0
6,395.7656911376,6116.8020734687,5235.9096224116
7,0,0,0
8,4027.0024577110,6632.2300169725,3650.4893675760
9,0,0,0
10,5553.4958473941,3194.4691105759,5265.3713443616
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,7907.9149747055,581.9234624450,11061.1416699361
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0.0000000000,0,0
32,0,0.0000000000,0
33,0,0,0
34,0,0,0
35,0,0,0.0000000000
36,0,0,0
