PointID,Region_0,Region_1,Region_2
0,5809.4551720207,3573.6697761528,8624.9356265864
1,NaN,NaN,NaN
2,8278.2950578177,3277.4571382962,4232.8915197488
3,NaN,NaN,NaN
4,499.5700982013,7239.2406368720,8579.1251282386
5,251.2282844456,7486.9485501899,7924.5489864486
6,0.1493583963,7065.7001753135,7657.2455448038
7,NaN,NaN,NaN
8,NaN,NaN,NaN
9,NaN,NaN,NaN
10,NaN,NaN,NaN
11,NaN,NaN,NaN
12,NaN,NaN,NaN
13,NaN,NaN,NaN
14,NaN,NaN,NaN
15,NaN,NaN,NaN
16,NaN,NaN,NaN
17,NaN,NaN,NaN
18,NaN,NaN,NaN
19,NaN,NaN,NaN
20,NaN,NaN,NaN
21,NaN,NaN,NaN
22,NaN,NaN,NaN
23,NaN,NaN,NaN
24,NaN,NaN,NaN
25,NaN,NaN,NaN
26,NaN,NaN,NaN
27,NaN,NaN,NaN
28,10986.7899517486,5360.1016267493,5384.2456764356
29,NaN,NaN,NaN
30,NaN,NaN,NaN
31,0.0000000000,NaN,NaN
32,NaN,0.0000000000,NaN
33,NaN,NaN,NaN
34,NaN,NaN,NaN
35,NaN,NaN,0.0000000000
36,NaN,NaN,NaN
