PointID,Region_0,Region_1,Region_2
0,1141.8881752537,223.5516137038,8683.7443542075
1,NaN,NaN,NaN
2,NaN,NaN,NaN
3,NaN,NaN,NaN
4,693.9971243941,7408.6982340506,6417.8460932907
5,NaN,NaN,NaN
6,55.3137676764,7395.3766323129,5417.7425191994
7,NaN,NaN,NaN
8,NaN,NaN,NaN
9,NaN,NaN,NaN
10,NaN,NaN,NaN
11,NaN,NaN,NaN
12,3109.5198116794,6443.7502271380,3263.2530277622
13,NaN,NaN,NaN
14,NaN,NaN,NaN
15,NaN,NaN,NaN
16,NaN,NaN,NaN
17,NaN,NaN,NaN
18,4295.3956674602,1010.6339791429,7724.3568082062
19,NaN,NaN,NaN
20,NaN,NaN,NaN
21,4782.3905035543,1795.0592050556,10003.1112303737
22,NaN,NaN,NaN
23,NaN,NaN,NaN
24,NaN,NaN,NaN
25,NaN,NaN,NaN
26,NaN,NaN,NaN
27,NaN,NaN,NaN
28,NaN,NaN,NaN
29,NaN,NaN,NaN
30,NaN,NaN,NaN
31,0.0000000000,NaN,NaN
32,NaN,0.0000000000,NaN
33,NaN,NaN,NaN
34,NaN,NaN,NaN
35,NaN,NaN,0.0000000000
36,NaN,NaN,NaN
