PointID,Region_0,Region_1,Region_2
0,5764.4404417610,3896.7720225951,9440.7625373375
1,NaN,NaN,NaN
2,NaN,NaN,NaN
3,NaN,NaN,NaN
4,682.6663302857,8477.6338478844,6288.7499773409
5,251.2282844456,8948.0348282849,5386.6225267818
6,183.2455904807,8511.1109373060,5235.9096224116
7,NaN,NaN,NaN
8,2247.6134017262,9737.7650939892,3650.4893675760
9,435.0783473940,5680.5074668524,3740.4991887337
10,NaN,NaN,NaN
11,NaN,NaN,NaN
12,NaN,NaN,NaN
13,NaN,NaN,NaN
14,NaN,NaN,NaN
15,1046.0479080149,8940.1160647616,2957.4904168633
16,NaN,NaN,NaN
17,NaN,NaN,NaN
18,NaN,NaN,NaN
19,NaN,NaN,NaN
20,NaN,NaN,NaN
21,NaN,NaN,NaN
22,NaN,NaN,NaN
23,NaN,NaN,NaN
24,NaN,NaN,NaN
25,NaN,NaN,NaN
26,NaN,NaN,NaN
27,NaN,NaN,NaN
28,NaN,NaN,NaN
29,NaN,NaN,NaN
30,NaN,NaN,NaN
31,0.0000000000,NaN,NaN
32,8069.4204570417,0.0000000000,10032.9641042727
33,NaN,NaN,NaN
34,NaN,NaN,NaN
35,NaN,NaN,0.0000000000
36,NaN,NaN,NaN
