PointID,Region_0,Region_1,Region_2
0,1219.5214611302,223.5516137038,11445.2780145846
1,NaN,NaN,NaN
2,NaN,NaN,NaN
3,NaN,NaN,NaN
4,286.9850449322,7481.6640004580,9650.9413381550
5,251.2282844456,7940.2062478930,8833.9345234025
6,0.1493583963,7502.3965719806,8629.8694701513
7,NaN,NaN,NaN
8,NaN,NaN,NaN
9,NaN,NaN,NaN
10,NaN,NaN,NaN
11,NaN,NaN,NaN
12,NaN,NaN,NaN
13,NaN,NaN,NaN
14,NaN,NaN,NaN
15,NaN,NaN,NaN
16,NaN,NaN,NaN
17,8253.4482545230,5421.2908298527,10304.6201301288
18,4592.1503807892,1011.5334953284,10575.1941640571
19,NaN,NaN,NaN
20,8832.2615123424,5959.5103709424,10684.4943283701
21,NaN,NaN,NaN
22,NaN,NaN,NaN
23,NaN,NaN,NaN
24,NaN,NaN,NaN
25,NaN,NaN,NaN
26,NaN,NaN,NaN
27,NaN,NaN,NaN
28,NaN,NaN,NaN
29,NaN,NaN,NaN
30,NaN,NaN,NaN
31,0.0000000000,NaN,NaN
32,NaN,0.0000000000,NaN
33,NaN,NaN,NaN
34,NaN,NaN,NaN
35,NaN,NaN,0.0000000000
36,NaN,NaN,NaN
