PointID,Region_0,Region_1,Region_2
0,5784.6334263309,3896.7720225951,11033.1899194050
1,0,0,0
2,0,0,0
3,0,0,0
4,693.9971243941,8477.6338478844,8720.7959927987
5,0,0,0
6,248.1282731613,8511.1109373060,7679.9292175605
7,0,0,0
8,0,0,0
9,866.3907873196,5680.5074668524,5730.0549223617
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,5331.6275772256,10111.1117550752,1263.9958893690
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0.0000000000,0,0
32,0,0.0000000000,0
33,0,0,0
34,0,0,0
35,0,0,0.0000000000
36,0,0,0
