PointID,Region_0,Region_1,Region_2
0,1219.5214611302,223.5516137038,11445.2780145846
1,0,0,0
2,0,0,0
3,0,0,0
4,473.6451069307,6518.9273514457,9650.9413381550
5,0,0,0
6,395.7656911376,6332.6423719882,8629.8694701513
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,8253.4482545230,487.3504503271,10304.6201301288
18,4592.1503807892,735.8769333283,10575.1941640571
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,7668.9506692030,5084.4450647492,9550.1819514624
29,0,0,0
30,0,0,0
31,0.0000000000,0,0
32,0,0.0000000000,0
33,0,0,0
34,0,0,0
35,0,0,0.0000000000
36,0,0,0
