PointID,Region_0,Region_1,Region_2
0,3779.7419923866,2095.6195718229,4900.3779517911
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,349.4694467295,6248.8643435075,4675.0354493654
6,0.1493583963,5825.8771828700,4339.5814035090
7,0,0,0
8,0,0,0
9,247.7844450570,2787.1891502834,1432.9949632156
10,0,0,0
11,0,0,0
12,1294.6277081980,4285.0857698015,1029.6328216675
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,5875.8454964314,1362.1661921393,6042.5226304052
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0.0000000000,0,0
32,0,0.0000000000,0
33,0,0,0
34,3142.6164804329,3077.8305255477,3962.3176228154
35,0,0,0.0000000000
36,0,0,0
