PointID,Region_0,Region_1,Region_2
0,3236.0884472002,2095.6195718229,4789.9224299291
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,431.7892681617,6248.8643435075,3547.8421131180
6,0.1493583963,5825.8771828700,3290.2748017292
7,0,0,0
8,2041.9577846190,6296.8139977374,2284.3428664733
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0.0000000000,0,0
32,0,0.0000000000,0
33,0,0,0
34,5180.0174009930,3511.6230546496,4829.7913278074
35,0,0,0.0000000000
36,0,0,0
