PointID,Region_0,Region_1,Region_2,Region_3,Region_4,Region_5,Region_6,Region_7,Region_8,Region_9,Region_10,Region_11,Region_12,Region_13,Region_14,Region_15,Region_16,Region_17,Region_18,Region_19,Region_20,Region_21,Region_22,Region_23,Region_24,Region_25,Region_26,Region_27,Region_28,Region_29
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2,9540.6001742628,24721.0743301983,31186.7818082023,15321.8434725605,13098.0273988383,23640.3747629665,20071.2619417190,6799.8868861049,11922.9988511864,16050.4797171015,3725.8995597332,12305.2314110809,22454.9693481815,20655.4366351645,18548.6675401635,29402.5468901353,21718.6027661752,10275.8217519069,16945.4375742406,15506.8530858605,9963.9172358907,24859.2109995433,21755.0301108133,2987.5433501138,18412.2154547403,9443.8202398443,15684.7143428501,7315.0393354482,9168.1851599271,13089.3621166276
3,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
4,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
5,7687.1115120031,26932.0260947567,29606.4066450687,16933.5862275794,14578.9977839122,21475.2150373318,19202.9620080091,4668.0023141406,14169.1322835833,13836.0577259198,6319.3277469429,12336.8055253405,20738.8326804034,22876.5250936684,20590.5343795168,27431.8205500582,23688.1553962726,9348.4259126711,14919.4823487542,14139.8728637387,9695.1621478580,23599.7164653079,19508.6817071936,747.9439061021,20642.4820244729,11483.2572420270,17742.6401891764,8004.0448469994,10096.3635002082,10888.2776014931
6,10070.3742267235,27427.2744620509,28472.7475775556,18048.3734318341,14402.3979596873,20601.7680945045,18094.2486363816,6299.8091771029,14865.4872094171,13414.3903506625,6430.2725504365,11485.2605859997,19624.6758898825,23667.3417159748,20839.0584560547,26404.0522869229,24704.9494345030,10462.7107507093,13919.3985438688,12991.8354242827,9811.4402234185,22452.7193505746,18906.2059087386,731.4177108318,21200.6682101016,11774.2433142279,18709.9507980806,6365.6214040777,9660.2424040296,10079.4893961251
7,8988.5140481935,27161.9646980603,27804.0903149866,18688.6911220250,13608.0895069723,20504.7707999815,17127.7489376139,8410.5609321813,14852.8702268218,13868.1141686236,5438.0597518000,10399.7241844451,19042.3608512032,23742.8153088876,20354.5223438752,26032.5815823768,25116.1012297909,11120.9811090374,13630.9186348529,12199.8249613779,11496.7411182504,21623.6951207995,19156.0069766207,1362.5616822197,21012.4793246269,11367.1910900334,19046.8271236653,4467.5277594569,8725.0756223470,10125.8777198523
8,11061.7454938083,28825.6123161468,28897.5973336632,17937.2375634865,16332.5739427425,19954.4131222148,19302.2549870924,3538.4670582377,15976.7616139214,11944.5934838165,6749.1984244121,13286.1250068782,19907.6866714582,24588.6809678806,22507.8564738045,26227.5073520190,25032.6626722946,10422.3259347171,13687.2765305038,13796.1705701076,6089.6976199739,23273.4757843962,17699.0724573144,2109.5998337358,22516.5417297997,13402.2911224501,19214.2810756465,7544.5027157887,11635.9584845384,9325.3712497250
9,8973.7848101943,28037.7543760922,27928.3332733526,18621.9693026742,14793.5863958179,19949.0994420781,17755.9243959621,6622.8601192309,15511.3781938931,12843.5542866784,7500.7271881446,11462.7232294164,19050.9514069412,24319.1861807843,21386.0013890448,25775.2363334328,25335.0234403425,11036.9400002984,13281.1929154406,12520.2537909192,9138.1139891855,21995.2593736060,18284.4752040595,542.3739642774,21825.2152964154,12342.6999736564,19351.6160772215,6315.5577220684,9935.2681209907,9429.4997021176
10,8698.0588490389,25435.5526955893,30394.4107337445,16101.2086485306,13342.3127185692,22798.0381523317,19442.6303148186,6439.2374693134,12719.8034191267,15333.5314759786,3890.4561436778,11940.8950890454,21636.5661239636,21483.4012222942,19119.8894308863,28554.8674837214,22562.6115871942,8545.9035950178,16094.7449623635,14749.7310808947,9322.1465565996,24133.8704538648,20979.1593890860,1394.2486878347,19153.2122777836,10009.2463592991,16534.8156841678,7638.1725229195,9139.7134386843,12258.9626749040
11,11816.3761766641,23307.1416265909,33477.4082662366,13049.4080564487,13359.2852454926,25749.5378599740,22173.5958189299,7781.9405488039,10202.5356927563,17664.5147587752,6238.0211599004,13989.5201260598,24752.3077503069,18702.3873160801,17710.5466953582,31656.8713526616,19452.8596833750,5954.1142765801,19171.4453875758,17774.2492626573,11412.5470995538,27089.3545588467,23555.6959548463,7299.0438649259,16914.5880127707,8792.8266626177,13466.1372300232,9394.4335352250,10220.6315343664,15145.7556844394
12,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
13,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
14,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
15,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
16,8934.8260949776,36753.5751989695,13447.3822434924,32761.1264617526,19645.6590292747,13465.4227890204,2775.3989786132,21388.8829712715,26971.9210569842,16287.6353385043,17304.5281423853,10535.9611530577,6407.6895767563,35835.0848531125,28552.7859056702,14608.6279259441,38641.7641952655,25229.9310262113,12940.2617220525,156.1369086036,16134.4883308676,7281.3350108284,17029.9097625934,14637.1512039749,31612.1366128025,21687.1233832067,32423.1448484397,10791.6525097226,14980.2757995180,10860.3386096518
