PointID,Region_0,Region_1,Region_2
0,2997.7786184890,2095.6195718229,4789.9224299291
1,NaN,NaN,NaN
2,NaN,NaN,NaN
3,NaN,NaN,NaN
4,693.9971243941,6001.9812928647,4092.6641513855
5,NaN,NaN,NaN
6,284.7964790369,5825.8771828700,3290.2748017292
7,NaN,NaN,NaN
8,2202.1643405188,6296.8139977374,2284.3428664733
9,NaN,NaN,NaN
10,404.7835580764,1.6838485790,436.2600420696
11,NaN,NaN,NaN
12,NaN,NaN,NaN
13,NaN,NaN,NaN
14,NaN,NaN,NaN
15,NaN,NaN,NaN
16,NaN,NaN,NaN
17,NaN,NaN,NaN
18,NaN,NaN,NaN
19,NaN,NaN,NaN
20,NaN,NaN,NaN
21,5605.9791038485,1344.9079400413,6042.5226304052
22,NaN,NaN,NaN
23,NaN,NaN,NaN
24,NaN,NaN,NaN
25,NaN,NaN,NaN
26,NaN,NaN,NaN
27,NaN,NaN,NaN
28,NaN,NaN,NaN
29,NaN,NaN,NaN
30,NaN,NaN,NaN
31,0.0000000000,NaN,NaN
32,NaN,0.0000000000,NaN
33,NaN,NaN,NaN
34,5193.8834434697,336.0960447506,4829.7913278074
35,NaN,NaN,0.0000000000
36,NaN,NaN,NaN
